district_name,district_lon,district_lat,nearest_mall_name,mall_lon,mall_lat,distance_m,distance_km
أم الحمام الغربي,46.64453367234618,24.689984251214508,بانوراما مول,46.669474955926354,24.69245835893743,2538.780575785517,2.538780575785517
حي الريان,46.778077017066416,24.712273902307746,Unnamed Mall,46.75615946589912,24.723606766138204,2548.242232508206,2.548242232508206
الشرفية,46.6578765513614,24.661042383009903,أول بلازا,46.67655818254458,24.67651084218737,2551.6237630100372,2.551623763010037
جرير,46.75090115257165,24.6781075213872,العثيم مول,46.77503657645483,24.684792900522826,2552.4807032854796,2.5524807032854797
النسيم الشرقي,46.84409990067675,24.738546174778953,العثيم مول فرع طريق خريص,46.822445670270405,24.750430842762746,2555.707729703881,2.555707729703881
حديقة الملك سلمان,46.724157261200084,24.71889038752892,الخليج مول,46.72826537852148,24.69598351571425,2571.1262921511734,2.5711262921511735
ظهرة لبن,46.561200819303444,24.63454238692811,Unnamed Mall,46.536421137315415,24.62902787520784,2581.952272932001,2.5819522729320012
حي المعيزيلة,46.83975169266584,24.793542672358598,Unnamed Mall,46.81435266816396,24.799024534189243,2639.110219591814,2.6391102195918137
الفاخرية,46.68332090968244,24.64204790953805,التخصصي بلازا,46.683455930945456,24.666088265797274,2662.820860020172,2.662820860020172
حي القادسية,46.824779269511964,24.82135002419429,Unnamed Mall,46.81435266816396,24.799024534189243,2688.3556881165555,2.6883556881165553
الفلاح,46.709203033868576,24.79703971251842,غرناطه مول,46.7308063,24.7817924,2761.230313815053,2.761230313815053
الرائد,46.638830496148024,24.70696212528384,Unnamed Mall,46.64780298478267,24.730694918909997,2781.0237481391964,2.7810237481391966
الواحة,46.71609345320593,24.741168279801688,النخيل مول,46.71580777927342,24.767100527755655,2872.5598102943495,2.8725598102943497
الخالدية,46.75525344245992,24.62448218514645,هايبر نستو,46.74783215401603,24.598459481526433,2978.783347101092,2.9787833471010923
الوادي,46.69124142593914,24.789474433655094,تالا مول,46.66889119534527,24.771766781037268,2992.5409153364267,2.9925409153364266
الصناعية القديمة,46.74709457051323,24.642360608839045,فلاجيو,46.71726216942252,24.646240800036935,3050.562348253443,3.0505623482534427
جامعة الإمام محمد بن سعود الإسلامية,46.70246014213052,24.813014572850932,بارك افنيو مول,46.72839094609429,24.82752457745235,3074.9177077466825,3.0749177077466823
النرجس,46.64523629987261,24.886580558306825,سنترو النرجس بلازا,46.64687164464053,24.85871003666926,3091.4844167910824,3.0914844167910824
الشفا,46.69571430618908,24.56228962232161,السدحان شبرا,46.66638348899114,24.570853116996823,3118.855472822995,3.118855472822995
حي السعادة,46.839415947926824,24.696034471383495,أسواق الرشيد,46.80801035436643,24.693139532362185,3194.3910044362315,3.1943910044362314
حي النور,46.8157425620103,24.631057738342538,مرجان السعودية,46.794453208806,24.652614282421023,3216.7089309993944,3.2167089309993946
المهدية,46.51759343591634,24.65361546306834,Unnamed Mall,46.536421137315415,24.62902787520784,3323.9339177919337,3.323933917791934
الرفعية,46.66155272656802,24.639825671149673,التخصصي بلازا,46.683455930945456,24.666088265797274,3657.560628110254,3.657560628110254
وادي لبن,46.52531028717557,24.597110791787443,Unnamed Mall,46.53638827534626,24.628819246306776,3686.674045666399,3.6866740456663987
المروة,46.673692378372415,24.538229736352346,السدحان شبرا,46.66638348899114,24.570853116996823,3688.485261232254,3.6884852612322536
الخزامى,46.59993505421844,24.713996748784428,U Walk,46.62881993364023,24.73837774851979,3978.879851872125,3.978879851872125
العريجاء,46.65658052101399,24.624826185611642,سوق الرياض الدولي,46.63277682748986,24.595492216347647,4045.52034502081,4.04552034502081
المصانع,46.74691647912454,24.5585898505275,هايبر نستو,46.74783215401603,24.598459481526433,4417.140501616555,4.417140501616555
المناخ,46.797206725766365,24.610109365844828,مرجان السعودية,46.794453208806,24.652614282421023,4716.44541628715,4.71644541628715
الهدا,46.6332389851108,24.66036848954361,أول بلازا,46.67655818254458,24.67651084218737,4735.047524637476,4.735047524637476
السفارات,46.62238500848268,24.680096152204,بانوراما مول,46.669474955926354,24.69245835893743,4958.274350521533,4.958274350521533
طويق,46.53904434239492,24.56807475175283,القرية الشعبية,46.585642662151905,24.583625321668855,5024.1359795653,5.024135979565299
الملقا,46.59755397739097,24.79899747684546,Unnamed Mall,46.585061280942774,24.7526394471392,5287.774247283367,5.287774247283367
حي السلى,46.847024871300725,24.652166954725512,مرجان السعودية,46.794453208806,24.652614282421023,5322.281711955115,5.322281711955115
Ad Diriyah Al Jadida,46.53176018929724,24.74714939751331,Unnamed Mall,46.585061280942774,24.7526394471392,5425.272634079601,5.425272634079601
الدار البيضاء,46.791530112940166,24.565202864228077,هايبر نستو,46.74783215401603,24.598459481526433,5758.489445215692,5.758489445215693
حي الرماية,46.8739399770644,24.772969969113298,العثيم مول فرع طريق خريص,46.822445670270405,24.750430842762746,5775.9927103176,5.7759927103176
بدر,46.71102969934801,24.5379816431821,السدحان شبرا,46.66638348899114,24.570853116996823,5806.341047954657,5.806341047954658
عكاظ,46.66474712457783,24.51218853384106,سلام مول,46.63738855635428,24.558257200344073,5806.903825028457,5.806903825028456
حي الرمال,46.81867039400681,24.859951674976095,Unnamed Mall,46.774835629480506,24.81915746674545,6328.707146919057,6.328707146919057
العارض,46.60041736274141,24.900399311303318,سنترو النرجس بلازا,46.64687164464053,24.85871003666926,6584.417302842818,6.584417302842818
عرقة,46.587543729091216,24.688063669398424,U Walk,46.62881993364023,24.73837774851979,6963.941980232949,6.963941980232949
أحد,46.63458971411024,24.48929433902765,سلام مول,46.63738855635428,24.558257200344073,7643.52879743132,7.64352879743132
الدفاع,46.831831858376475,24.59114778653046,مرجان السعودية,46.794453208806,24.652614282421023,7789.887854580222,7.789887854580222
القيروان,46.56072103360907,24.8763491339951,سنترو النرجس بلازا,46.64687164464053,24.85871003666926,8922.097115686021,8.922097115686022
حي المشاعل,46.8735893422375,24.612490809221,مرجان السعودية,46.794453208806,24.652614282421023,9162.709392120643,9.162709392120643
الشرق,46.861491258828046,24.877283522657677,Unnamed Mall,46.81435266816396,24.799024534189243,9892.260880580781,9.892260880580782
المنصورية,46.79819793966232,24.519363156468415,هايبر نستو,46.74783215401603,24.598459481526433,10138.702471145436,10.138702471145436
الاسكان,46.84858942781047,24.57459435924064,مرجان السعودية,46.794453208806,24.652614282421023,10234.340208665808,10.234340208665808
خشم العان,46.9090313955866,24.683222014747525,أسواق الرشيد,46.80801035436643,24.693139532362185,10282.899093043705,10.282899093043705
طيبة,46.83035295616934,24.543898778967623,هايبر نستو,46.74783215401603,24.598459481526433,10315.069367513173,10.315069367513173
حي الجنادرية,46.9143108021325,24.874380535352334,Unnamed Mall,46.81435266816396,24.799024534189243,13106.550039369171,13.106550039369171
حي الفرسان,46.82929712854738,24.9616911395242,التسوق الذكي الثمامه,46.74771282519655,24.84132904265063,15674.83874511575,15.67483874511575
حي النظيم,46.97267206831777,24.861586463390424,Unnamed Mall,46.81435266816396,24.799024534189243,17441.11639464719,17.44111639464719
